,Unnamed: 0,title,full_time,part_time,from_home,freelance_project,internship,shift_based,date,company_and_location,company_info,num_open_pos,num_applicants,num_viewed,in_consid,not_selected,num_of_employees,sector,job_description,job_requirement,exp_years,career_level,edu_level,sex,salary,job_cats,skills_and_tools,link
4419,4419,Sales Account Manager ( El-Qanal),1,0,0,0,0,0,Posted 21 days ago,"Alarabia Group - Suez, Suez","Our Group business modules:
•	Retail Sales Chain providing excellent customer experience in our showrooms by giving a...",Applicants for3 open positions,37,30,1.0,33.0, 501-1000 employees,"Manufacturing, Retail, Wholesale Trade","Manage a portfolio of accounts to achieve long-term successDevelop positive relationships with clientsAct as the point of contact and handle customers’ individual needsGenerate new business using existing and potential customer networksResolve conflicts and provide solutions to customers in a timely mannerSupervise account representatives to ensure sales increaseReport on the status of accounts and transactionsSet and track sales account targets, aligned with company objectivesMonitor sales metrics (e.g. quarterly sales results and annual forecasts)Suggest actions to improve sales performance and identify opportunities for growth","Proven work experience as a Sales account manager or Sales account executiveHands on experience in sales and an ability to deliver excellent customer experienceKnowledge of CRM software and MS Office (MS Excel in particular)Understanding of sales performance metricsExcellent communication and negotiation skillsAn ability to deliver projects and answer inquiries on timeBusiness acumen with a problem-solving attitudeBSc degree in Business Administration, Marketing or relevant field",More than 3 years,Manager,Not Specified,,Confidential,Business Development,"['account manager', 'Administration', 'business', 'Business Administration', 'Communication', 'CRM', 'Customer Service', 'Marketing', 'Sales', 'sales skills', 'Sales Target', 'Software']",https://wuzzuf.net/jobs/p/KI8fra4X8LXG-Sales-Account-Manager-El-Qanal-Alarabia-Group-Suez-Egypt
43,43,English Teacher - 10th of Ramadan City,1,0,0,0,0,0,Posted 4 hours ago,"El Massria Integrated Sc... - 10th of Ramadan City, Sharqia",El Massria Integrated Schools in Egypt has been one of Egypt's leading schools since it opened its doors to its first...,1 open position,,,,, 101-500 employees,Education,Teach English to required grades at American College.Develops lesson plans and instructional materials to adapt the curriculum.Sets quarters exams with accurate model answers.Substitutes whenever the need arises.,"A bachelor's degree in a related field.
Fluent in English is must.
Excellent at computer skills.
3 years of experience as a teacher in American diploma is preferred.
Aware of Common Core State Standards and SAT Concepts.",More than 3 years,Experienced (Non-Manager),Bachelor's Degree,,Confidential,Education/Teaching,"['Teacher', 'Education', 'Teaching', 'SAT', 'English', 'English Teaching', 'American diploma', 'american', 'Skills', 'Computer Skills', 'computer']",https://wuzzuf.net/jobs/p/FpssAl3vANQG-English-Teacher---10th-of-Ramadan-City-El-Massria-Integrated-Schools-Sharqia-Egypt
6539,6539,Application Support Specialist (Egypt-KSA),1,0,0,0,0,0,Posted 1 month ago,"Ejada  - Heliopolis, Cairo","EJADA is a leading IT services provider in the Middle East and Africa (MEA) region, enabling enterprises and public-s...",Applicants for2 open positions,80,10,3.0,0.0, More than 1000 employees,"Computer and Network Security, Computer Software, Information Technology Services","To oversee maintenance of software application to meet business operations needs and support end users.Providing application support.Performing health checks to ensure functioning of application front end and backend functionalities and coordinating with various teams to resolve issues. Suggest improvements in application and its usage by end users.Managing installation and upgrades including supporting OS admins and DBAs during their activities.Documenting configuration changes Deployment of the packages in the testing environment and support customers during production deployments.Documenting processes and monitoring application Supporting testing teamRelease Management.Assist in planning and scheduling upgrades and other activities to support end users and business operations.Collecting logs, analyzing and coordinating with developers and L3 supports.Management of problems, raising/solving tickets in Service desk e.g., Jira Create status reports for management review.","Bachelor's degree in software engineering, computer science, information technology, information systems, computer engineering, or similar.3 years of experience in supporting payment or similar applicationsExperience working with JAVA (1.8 and above), J2EE technologies with SOLID principles and knowledge on service-oriented architecture.Experience working with RESTful and SOAP web services.Experience working with WSO2 Enterprise Service Bus. Experience working with SOAP UI.Working Knowledge of Application Server Technologies IBM Web sphere & JBoss EAP.Knowledge of working with Basic Linux CLI.Good understanding of IP Networking (TCP/IP, DNS, HTTP, SSL/TLS, etc.).Experience working with one or more version control platform (e.g.  TFS, Git, SVN).Experience working on Oracle Database and SQLs.Knowledge of software applications and its supportGood understanding of Linux (Ubuntu, CentOS, RedHat) and Microsoft Windows Server.Good to have experience on Oracle databases (Procedures, Functions, Scheduler Jobs, Views etc).Good to have experience working in web application using Javascript, and PL/SQL.Good to have experience working with front end technologies like Angular/React",2 to 3 years,Experienced (Non-Manager),Bachelor's Degree,,Confidential,IT/Software Development,"['Computer Engineering', 'Computer Science', 'Information Technology (IT)', 'Engineering']",https://wuzzuf.net/jobs/p/MOX6zvowAPAA-Application-Support-Specialist-Egypt-KSA-Ejada-Cairo-Egypt
5049,5049,Chief Financial Officer,1,0,0,0,0,0,Posted 26 days ago,"Mares Medical - Riyadh, Saudi Arabia",,People have clicked1 open position,75,,,,,,"MARES Medical is happy to announce the availability of Chief Financial Officer (CFO) job opportunity for a Leading Healthcare Facility in Saudi Arabia. As an applicant, you can now apply for this great opportunity after completing your profile.RequirementsLeadership experience in Healthcare, Insurance or Financial services. Minimum 5 Years Experience as a CFO.",,Not Specified,Not specified,Not Specified,,Confidential,Accounting/Finance,"['Finance', 'Accounting', 'Financial Management', 'Financial Analysis', 'Management', 'MBA', 'Microsoft Office', 'CPA', 'Information Technology (IT)', 'Operations', 'Engineering', 'CFO', 'Computer Science', 'Software Development', 'CTO', 'Financial', 'Business Administration', 'Computer Skills', 'English', 'CMA']",https://wuzzuf.net/jobs/p/07LWnqEOV279-Chief-Financial-Officer-Mares-Medical-Riyadh-Saudi-Arabia
6695,6695,HR Operations Associate - Tanta,1,0,0,0,0,0,Posted 1 month ago,"EL-RAYA - Tanta, Gharbia","- El-Raya Company was established in 1994, and it was initially specialized only in the trade of door linings

- Then...",Applicants for1 open position,53,41,0.0,41.0, 11-50 employees,"Import and Export, Wholesale Trade","The job incumbent will provide general administrative support to the HR department, including scheduling meetings, coordinating interviews, maintaining HR files, and assisting with other HR-related tasks as required.What will you do?Recruitment and Selection: Collaborates with hiring managers to create job descriptions and advertisements, Screens resumes and applications, shortlisting candidates based on qualifications, Coordinates interviews and manages logistics for candidates and interviewers, assists in the interview process, takes notes, and provides feedback.Employee Onboarding: Assisting with the onboarding process for new hires, including conducting orientation sessions, collecting required documentation, and ensuring a smooth transition into the organization.HRIS Management: Managing the Human Resources Information System (HRIS), which includes updating employee records, generating reports, and maintaining data accuracy.Employee Data Management: Handling employee data, such as personal information, employment history, benefits enrollment, and other relevant records, while ensuring confidentiality and data security.Benefits Administration: Assisting with the administration of employee benefits programs, including enrollment, changes, and answering employee inquiries related to benefits.Payroll Support: Collaborating with the payroll department to ensure accurate and timely processing of employee payroll, including verifying timesheets, deductions, and assisting with payroll-related inquiries.Leave and Attendance Management: Managing employee leave requests, including tracking accrued leave, processing time-off requests, and maintaining accurate attendance records.HR Policies and Procedures: Assisting in the development, implementation, and communication of HR policies and procedures, ensuring compliance with labor laws and regulations.Employee Relations Support: Assisting with employee relations matters, such as addressing employee inquiries, resolving conflicts, and providing general support and guidance to employees.Compliance and Reporting: Assisting with HR compliance activities, such as preparing reports, supporting audits, and ensuring adherence to applicable laws, regulations, and company policies.HR Projects and Initiatives: Supporting HR projects and initiatives, such as performance management, employee engagement programs, training and development initiatives, and other HR-related projects as assigned.","Proven experience with HR Operations (Fresh grads are welcomed to apply)Excellent communication and listening skills.Excellent Emotional Intelligence (EQ) skillsThe individual should have a high attention to detail and the ability to prioritize tasks, especially when working under pressure. They should also demonstrate sensitivity to handling confidential information.Experience with recruitment procedures.Demonstrated expertise in using Microsoft and Google workplace tools is necessary.Relevant training and/or certifications in an HR is a plus.",0 to 1 year,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Male,"Confidential, Sim-Annual incentives",Administration,"['Human Resources (HR)', 'Recruitment', 'Microsoft Office', 'Communication', 'Operations']",https://wuzzuf.net/jobs/p/XaWcTGih7hIf-HR-Operations-Associate---Tanta-EL-RAYA-Gharbia-Egypt
6333,6333,Quality Control Specialist (Junior),1,0,0,0,0,0,Posted 1 month ago,"MINISO LIFE - 6th of October, Giza",* MINISO (名创优品) (NYSE: MNSO) is a Chinese Retailer and Variety Store Chain that specializes in Household and Consumer...,Applicants for1 open position,195,70,9.0,0.0, 101-500 employees,Retail,"Responsible for auditing the quality of MINISO products like Bags, Accessories, Electronics…..,…… as well as:Reviewing and inspecting products at the suppliers' factories before their arrival at our warehouse.Quality and quantity auditing as well as reviewing products at our warehouse before delivering them to our branches.Following up with warehouse to handle receiving and coordinating our purchased products.Following up with branches to solve any problem regarding our purchased products.Continuous visits to our suppliers in different cities.Any other tasks assigned by direct manager.","Experience in Quality  (1-3 years)Excellent in Speaking and Writing English (Working with Foreigners)Excellent in MS Excel. (Vlook-up, Pivot table , Equations,…,…,…)Retail Experience.Males preferred.6th of  October city or Giza resident.",1 to 3 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Males preferred,Confidential,Quality,"['Quality Control', 'QA', 'Quality', 'English', 'Quality Assurance', 'Microsoft Office', 'Microsoft Excel', 'Retail']",https://wuzzuf.net/jobs/p/CYM6bjr55L1H-Quality-Control-Specialist-Junior-MINISO-LIFE-Giza-Egypt
7770,7770,Telemarketing Agent,1,0,0,0,0,0,Posted 1 month ago,"Upwyde - Cairo, Egypt",,Applicants for1 open position,10,7,0.0,0.0, 11-50 employees,Real Estate/Property Management,Contact potential or existing customers to inform them about a product or service using scripts.Answer questions about products or the companyAsk questions to understand customer requirements and close sales.Direct prospects to the field sales team when needed.Enter and update customer information in the database.Take and process orders in an accurate manner.Handle grievances to preserve the company’s reputation.Go the “extra mile” to meet sales quota and facilitate future sales.Keep records of calls and sales and note useful information.,Proven experience as tele sales representative or other sales/customer service roleProven track record of successfully meeting sales quota preferably over the phone.Good knowledge of relevant computer programs (e.g. CRM software) and telephone systemsAbility to learn about products and services and describe/explain them to prospectsExcellent knowledge of EnglishExcellent communication and interpersonal skillsCool-tempered and able to handle rejectionOutstanding negotiation skills with the ability to resolve issues and address complaintsHigh school diploma; BSc/BA will be a plus,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Female,Confidential,Business Development,"['Communication', 'Negotiation', 'Customer Service', 'CRM Software', 'CRM', 'Sales', 'sales skills', 'Skills', 'negotiation skills', 'Telesales', 'Software']",https://wuzzuf.net/jobs/p/dCas7iXF4mZH-Telemarketing-Agent-Upwyde-Cairo-Egypt
8996,8996,AR Accountant,1,0,0,0,0,0,Posted 2 months ago,"Cilantro - Maadi, Cairo",Cilantro is the fastest growing tech-enabled F&B chain in Egypt with a network of 90+ stores that operate all across ...,Applicants for1 open position,607,342,20.0,403.0, 101-500 employees,"Food and Beverage Production, Food Services/Restaurants/Catering","Generating and issuing accurate and timely invoices to customersReceiving and processing customer paymentsMonitoring and managing customer accounts to ensure timely payment of outstanding invoicesReconciling customer accounts and resolving any discrepancies or disputes related to payments, discounts, or pricingGenerating regular reports related to accounts receivable, such as aging reports",BS degree in Accounting.Proven working experience as AR Accountant.Solid understanding of basic accounting principlesData entry skills along with a knack for numbersHands-on experience in operating spreadsheets and accounting softwareProficiency in MS Office,2 to 3 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Male,Confidential,Accounting/Finance,"['Accounting', 'Accounts Receivable', 'AR', 'Accounts', 'Receivable']",https://wuzzuf.net/jobs/p/zpzuadPFlkiD-AR-Accountant-Cilantro-Cairo-Egypt
8992,8992,HSE Officer,1,0,0,0,0,0,Posted 2 months ago,"Breadfast - New Cairo, Cairo","Household needs, from bread to everything.
Fast & smooth shopping experience for the household.",Applicants for1 open position,102,40,0.0,0.0, 501-1000 employees,"FMCG, Food and Beverage Production",Conduct regular site HSE inspectionsEnsure implementation of safe work practices in all areasPrepare risk assessments for tasks when neededReport potential hazards in all areasConduct training and toolbox talks to employees frequentlyConduct instant investigation whenever an incident occursPrepare and deliver site HSE legal documentation Ensure all used equipment is safe to be used,Personal Competencies:Good command of written and spoken EnglishExcellent communication and handling skillsExcellent time management skillsFlexibility/AdaptabilityComputer knowledge especially Microsoft OfficeProfessional & Educational Backgrounds:2-5 years of work experience Strong understanding of health and safety standards and testing techniques.Experience in health and safety or a similar field is preferred NEBOSH IGC certification or equivalent is preferable,3 to 5 years,Entry Level (Junior Level / Fresh Grad),Not Specified,,Confidential,Other,"['Health and Safety', 'HSE', 'quality', 'Safety']",https://wuzzuf.net/jobs/p/bUSUbQ8dOyaY-HSE-Officer-Breadfast-Cairo-Egypt
1021,1021,Employee Relations Officer,1,0,0,0,0,0,Posted 5 days ago,"UrbaCon Contracting & Tr... - Doha, Qatar",,1 open position,,,,,,,"Job Summary To execute employee relations tasks in line with policies and procedures, while maintaining good communication and positive relationships with the employees to promote employee satisfaction.Job Responsibilities 1 Promote customer-centric services, fair and transparent people practices. 
Contribute with ideas for a smoother and efficient day-to-day operation. 
Comply with our Attendance protocols.
Ensure adequate support is provided to the employees on all their queries. 
Prepare employee files and ensure all employee related documents throughout their lifecycle are filed. 
Keep up to date with policy changes.
Administers the HR Services in a precise and timely manner; and ensures a high-quality standard is applied to all transactions.
Job Responsibilities 2 Execute any of the following transactions: 
Onboarding
Offboarding
Leave approvals
Ticketing
Medical insurance 
Reimbursements
Personal information updates
Generate business letters
Respond to ASK HR queries
Ensure compliance with all relevant HSE&E and QM policies, procedures, and controls across the department to guarantee self and Team safety, legislative compliance, delivery of high-quality service standards and a responsible environmental attitude.
Perform any other duty, within a reasonable professional boundary, as assigned by the Manager from time to time.
Additional Responsibilities 3 Job Knowledge & Skills • Strong Knowledge of the Human Resources.• Hands-on experience implementing Employee Relations• Familiarity with Candidate Management Systems and Human Resources software• Excellent verbal and written communication skills• Leadership abilities.• Ability to work both independently but also within a collaborative team environment. • Proven track record in building and maintaining effective working relationships with a range of stakeholders. • A capacity to operate in a rapidly changing environment• Competence in providing critical review and challenge to business cases.• Advanced project management and organizational skills• ERP knowledge preferably SAP functional skills are a requirement to be successful in this role.Job Experience 4 years of experienceCompetencies CollaborationAccountabilityResilienceQualityLeadershipEmployee Experence and Design Thinking L2Data Driven L2SAP ERP Human Resources L2People Advocacy L2Digital Integration L2Education Bachelor's Degree in Commerce or Business Administration",,Not Specified,Not specified,Not Specified,,Confidential,Customer Service/Support,"['Customer Service', 'Customer Care', 'Human Resources (HR)', 'Customer Support', 'Public Relations (PR)', 'Employee Relations', 'Administration', 'Microsoft Office', 'Law', 'Marketing', 'English', 'Legal', 'Call Center', 'Government Relations', 'HR', 'Sales', 'Sales Skills', 'Computer Skills', 'Personnel', 'Communication']",https://wuzzuf.net/jobs/p/FYVVHFtzzo8D-Employee-Relations-Officer-UrbaCon-Contracting-Trading-Company-Doha-Qatar
